title,heading,paragraph
How to Find Out if Your Phone Is Unlocked: 11 Steps,Try to make a call.,"Once again, this process will differ from phone to phone: open your phone's calling app, type in a number, and press the ""dial"" button. If the phone call goes through, your phone is unlocked and should be able to accept any hardware-supported SIM cards from other carriers. If you are unable to make the call and you're certain that the number you're calling is valid, your phone is locked."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Wash your hair on a daily basis.,"Your hair will lookand feelits best, and have the most volume if its washed every day (or at least every other day). Find a hair-washing regimen that seems to maximize the volume of your hair and stick to it.[1] Greasy or unwashed hair tends to clump together, making the hair look flat and deflated."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Rinse out hair-care products with warm or room-temperature water.,Try to avoid rinsing shampoo or conditioner out of your hair with hot water. Warm or room-temperature water is ideal for washing shampoos and conditioners out of your hair.[2] Hot water can damage your hair follicles and exacerbate the appearance of thinning hair.
3 Ways to Add Volume to Hair (for Men) - wikiHow,Clean and condition your hair with thickening products.,"Thickening shampoos and conditioners are a great way to add lift to your hair. Thickening products work by coating the hair follicle with a special polymer designed to increase the width of individual hair strands. If you find a thickening product that you like, plan to use it daily in place of your former shampoo.[3] To achieve the best results, try pairing a volumizing shampoo with a volumizing conditioner. You can find thickening shampoos and conditioners at your local grocery store."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Let your hair grow out.,"Its tough to increase the volume of short hair, no matter how much product you put in it, since short hair is more difficult to lift and style. If youre trying to increase the volume of your hair, grow your hair out by at least 12 inches (2.55.1cm). This extra length will give you more hair to style and volumize, and give your hair a more unique look.[4] Having longer hair doesnt mean youll necessarily look shaggy. You can keep the back and sides short, and just grow out longer hair on the top of your head."
3 Ways to Add Volume to Hair (for Men) - wikiHow,"Use a light, volumizing mousse product.","Mousse is generally preferable to wax or gel-based styling products, since it tends to leave less residue in your hair after it has been styled.[5] Heavy gels, sprays, waxes, and mousses can leave hair matted down and greasy looking, whereas mousse keeps hair looking full and high-volume. As a general rule, the less you feel the product in your hair, the better it is for increasing the appearance of volume.[6] Its most important that you find a product that works well for your particular look. Try out a few moussesand maybe even a gel or 2until you find a product that you like."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Avoid gel products that stiffen the hair.,"If a volumizing styling product leaves your hair feeling crispy or crunchy, its probably not ideal for increasing the appearance of volume. The more flexible your hair is after using a volumizing styling product, the more effective it will be in increasing the appearance of volume.[7]"
3 Ways to Add Volume to Hair (for Men) - wikiHow,Use a moderate amount of volumizing styling products daily.,"While gels, mousses, waxes, and sprays do help increase the appearance of volume, their effects are temporary. You will need to maintain a consistent regimen when using these products to most effectively increase the appearance of volume.[8] Its best to follow the labels recommendations for applying a volumizing product. Use the amount of the product that is recommended on the label."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Apply styling products to the tips of your hair.,"Scoop up roughly a dime-sized amount of product on 3 or 4 fingers on each hand, and run both hands backward through your hair. Coat the hairs fully with the product. Avoid putting an excessive amount of product on the roots, or youll end up with clumps of hair stuck together. Repeat this process 3 or 4 times, until you have your hair styled to a degree that suits you. Applying a volumizing styling product to the roots of your hair can have an adverse effect on the appearance of volume. This is because applying products to the roots of your hair will tend to cause a clumping effect and give your volumized hair a patchy look.[9]"
3 Ways to Add Volume to Hair (for Men) - wikiHow,Use your hands to style your hair.,"Avoid combing your hair, since combs can negatively impact the appearance of volume. For the best results in increasing the appearance of volume, use your hands.[10] Combs have a tendency to pull and tear at the roots of the hair and can pull hairs in an unusual direction, which opens up larger patches of visible scalp."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Use a blow dryer after applying volumizing styling products.,"[11] Dry hair tends to appear more voluminous than wet hair or hair that has been oversaturated with product. For the best results, blow dry your hair after using a volumizing styling product. Hold the blow dryer about 12 inches (30cm) away from your head, and run your hand through your hair while its drying. This will help the hair dry more quickly.[12] Most styling products recommend applying them to damp or moist hair. This helps the product to uniformly coat your hair. If your hair is wet when you put the products in, wait for your hair to dry and run your hands through it a few times to lift the hair."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Style your hair in different ways to find a look that suits you.,"Changing your hairstyle to maximize the appearance of volume is often a process of trial and error. Spend some time trying various techniques to see what works best for you. For example, try running your hands sideways through your hair when applying a volumizing product, or change the amount of product you use.[13] If you have naturally curly or wavy hair, try breaking up the curls and waves with your fingers to give your hair as much volume as possible. Separate each curl 2 to 4 times to make your hair appear fuller. Try to disperse styling products evenly throughout your hair: top, front, back, and sides. This should help ensure that the application of styling products leaves your hair looking naturally thick and not oversaturated with product."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Avoid sunburn on your scalp.,"Its not common knowledge, but sunburn on the top of your head can have a negative effect on the volume of your hair. A sunburned scalp will cause hair to fall out, leading to thinner hair with reduced volume. So, if youre going to be out in the sun for more than 20 or 30 minutes, plan to wear a hat or put some sunscreen on the top of your head.[14] Burning the top of your head will also make the hairs themselves brittle and thin, which decreases the amount of volume in your hair."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Dont wear a tight hat every day.,"Many men wear a baseball cap, stocking cap, or cowboy hat on a day-to-day basis. Unfortunately, this can have a negative effect on the volume of your hair. Wearing a hat can compress your hair and reduce its volume, and can also reduce circulation to your scalp. This, in turn, will reduce the health and volume of your hair.[15] Wearing a tight hat every day can also damage your follicles and cause your hair to thin."
3 Ways to Add Volume to Hair (for Men) - wikiHow,Consider using hair-growth products.,"If part of the reason your hair has lost volume is that your hair is thinning, a hair-growth product may be the most effective way to restore hair volume. Talk to your doctor, and see what type of hair-growth product they recommend. It is important to note that these products both have better success rates at stopping hair loss than they do with re-growing lost hair, so be proactive and consult your doctor as soon as you notice your hair starting to thin.[16] The two most popular hair growth products on the market contain minoxidil (found in products such as Rogaine) and finasteride (found in products like Propecia). Minoxidil is a topical treatment and finasteride comes in pill form."
3 Ways to Use Nail Clippers - wikiHow,Use a smaller set of clippers.,Fingernail clippers are smaller than those used for toenails. Their cutting edge will also be curved slightly inwards to match the rounded shape of your fingernail tips.[1] Toenail clippers are larger and have straight cutting edge. Using these on your fingernails can cause damage.
3 Ways to Use Nail Clippers - wikiHow,Open the clippers.,"Lift up and rotate the lever of the clippers. When you are ready to trim your nails, hold the clippers in your hand. Place a fingernail between the two cutting blades that face each other. You'll squeeze the upper lever and the lower parts together to clip the edge of the nail off."
3 Ways to Use Nail Clippers - wikiHow,Choose where to begin.,"Some people like to begin at one nail, either the pinky or thumb, and work their way across the others, one by one. However, you could also start with your shortest nail. Clip it, and then cut the others down to the same length. That way, youll be sure not to cut too much off of any nail.[2]"
3 Ways to Use Nail Clippers - wikiHow,"Clip at an angle, making several small cuts.","Resist the temptation to cut straight across your fingernail in one go! Even though the clippers have a rounded edge, you should approach the nail from a slight angle and cut only a little bit at a time.[3] Your cuticle is the rounded part where the opposite end of the nail is covered by skin. Clip the free edge of the nail to basically mirror this rounded edge."
3 Ways to Use Nail Clippers - wikiHow,Leave a little white at the edge.,"Avoid clipping your nails all the way to the skin, since this can make it too easy to be injured. Instead, leave some of the white portion of the fingernail. Unless you prefer to leave your fingernails long, dont leave white hanging past the fingertip.[4]"
3 Ways to Use Nail Clippers - wikiHow,Use larger clippers for toenails.,"Since toenails are usually thicker than fingernails, you will need a stronger tool. Toenail clippers are larger than those used for fingernails. They also have a straight cutting edge, to properly and safely shape the nail.[5] Using fingernail clippers on large toenails can damage the clippers, the nails, or both. If you have small toes, you may be able to use fingernail clippers on them. However, you will still need toenail clippers for your big toe."
3 Ways to Use Nail Clippers - wikiHow,Open your clippers.,"Like those for fingernails, toenail clippers have two blades that face each other, held together by a pin. A third piece can swivel upwards and rotate to be used as a lever. You will hold the clippers in your hand, with the bottom part on your four fingers. Place the toenail you want to cut between the blades, and squeeze down on the lever with your thumb."
3 Ways to Use Nail Clippers - wikiHow,Cut toenails straight across.,"If you dont cut your toenails right, they can become ingrown, which can cause pain and infection. To prevent this problem, cut the toenails straight across, just past the skin of each toe.[6] Rounding off your toenails makes it more likely that the edges will push under the skin of your toes, which may cause pain and infection. You can start with your big toe and then move to the others. Unlike fingernails, your toenails probably won't end up being cut to the same length."
3 Ways to Use Nail Clippers - wikiHow,See a podiatrist if your toes develop problems.,"If you accidentally cut your toenails wrong and get an ingrown toenail, your instinct might be to just clip off the part thats pushing into your skin. However, over time, this can just make the problem worse. Instead, see a podiatrist for professional help correcting the issue.[7]"
3 Ways to Use Nail Clippers - wikiHow,Trim your nails every few weeks at least.,"Regular care is key when it comes to clipping your fingernails and toenails. By clipping them before they become too long, youll be less likely to break or damage them.[8]"
3 Ways to Use Nail Clippers - wikiHow,File your nails.,"Many nail clippers include a file or combination file and pick. You can use this to file your nails in a pinch. However, try an emery board for a smoother finish. Work gently, moving the board or file in only one direction rather than sawing back and forth."
3 Ways to Use Nail Clippers - wikiHow,Clean underneath your nails daily.,"Gently scrub underneath your nails with a brush, using soap and water to wash dirt away. If your clippers include a pick, you can also use it to gently scrape dirt out. Just be careful not to pick so deep that you pierce the skin under your nail.[9]"
3 Ways to Use Nail Clippers - wikiHow,Clip hangnails only to the base of the skin.,"Hangnails are portions of the edge where a nail meets skin that get pushed up. Youre almost sure to have one at least occasionally, and they can be irritating. Clipping them will help, but use fingernail or toenail clippers and cut only to the base of the skin. If you try to cut too deep or pull the hangnail out, it can be very painful.[10]"
3 Ways to Use Nail Clippers - wikiHow,Clean and disinfect your tools.,"Fingernails and toenails can become quite dirty, and cutting them can transfer that dirt, bacteria, and fungi to the clippers. To minimize passing germs, follow a few guidelines: Use separate clippers for your fingers and toes. Keep your own clippers rather than using another person's. Clean and disinfect your clippers after using them. For instance, you can wipe them down with a cotton swab dipped in rubbing alcohol."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Try an unscented dryer sheet to control extra static.,"That's what dryer sheets are for! you're thinking. Yep! They're excellent at controlling static electricity, and if you don't have any scruples about rubbing your hair with an anti-static sheet, they're very effective at taming flyaways. Perfect for when you're on the fly."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Get an ice cube and run it over your flyaway hair.,"Okay, so you won't be able to do this once you've gotten to class or the office, but this method works if you're still at home when you get the Medusa hair. Just take an ice cube and run it over any hair that's acting up, i.e. hair that's too dry. Cold water helps your hair retain moisture and help control it."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Use a small amount of non-greasy hand- or body-lotion.,"The operating term here is non-greasy. As with the dryer sheet, you probably don't associate moisturizing lotion with your hair. But dab a little bit in your hands, spread it out, and work it into your hair, concentrating on the problem areas. Remember that flyaway hair is dry hair, and infusing it with some moisture-trapping lotion can go a long way. Only do this method if you have medium to thick hair texture."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Use product specifically designed for your kind of hair.,"Flyaway hair is caused by dry hair, too much product build-up, or chemical damage. As hair gets drier, it produces more friction and static electricity. A silicone-based hair serum works for most kinds of hair, keeping it moisturized, shiny and flexible. But if you want to get serious about taming flyaway hairs, you'd consider what kind of hair you have and use product that's specifically designed with your hair in mind: Hairspray designed to combat flyaways is best for fine to medium hair. A quick spritz should get the job done without sacrificing any naturalness your hair usually has.[1] Lightweight pomades designed to trap moisture is best for thicker hair. The trick with pomades is applying only a little; it goes a long way! Make sure you spread the pomade over your hands and coat evenly before applying to flyaways."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Run your fingers through your hair instead of using a brush if you're prone to flyaways.,"[2] Less friction equals less static electricity. Running your fingers through your hair will reduce the amount of friction on your hair, while using a brush can increase it. The more friction and static electricity, the more flyaway hairs."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,"Use a shampoo especially for frizzy hair, and don't forget to condition!","A couple things to note about using shampoo and conditioner to control flyaways: You don't have to shampoo your hair every day. Shampooing every day is a recipe for dried-out hair. Unless you work in a greasy, sweaty, or dirty place or your hair desperately needs to be cleaned every day try to only wash it once every two or three days.[3] But when you do shampoo, choose an anti-frizz or moisturizing shampoo. Anti-frizz and moisturizing shampoos are packed with moisturizing agents like aloe vera, essentially providing extra safeguards against dryness. When shampooing, focus most of your energy on cleaning your scalp, not drying out your ends. Choose a shampoo that is made for your hair type. For example, if you have curly hair, choose a shampoo that is labeled as curly. Every time you shampoo, condition. Conditioning your hair helps keep it from drying out and breaking into flyaways and split ends. When you condition, focus mainly on your ends."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Use a clarifying shampoo once a month.,"If you use many styling products in your hair, the build-up over time can cause flyaways. To combat this, use a clarifying shampoo at least once a month. Be sure to condition your hair afterwards."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Make your hair more conductive by applying special leave-in products.,"Look for products that have the words ""quat"" or ""amine"" in them, as they do a better job of conducting electricity than silicone- or alcohol-based products. Products that conduct electricity better mean fewer flyaways."
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Avoid hair breakage.,Hair with too much breakage can cause flyaways as well. It is easier to prevent hair breakage than treat it. Handle your hair gently. Some ways you can prevent hair breakage include: Using silk pillow cases Putting heat tools such as hairdryers and curling irons on low settings Reducing chemical treatments Choosing cloth elastic bands
How to Get Rid of Flyaway Hair: 10 Steps (with Pictures) - wikiHow,Finished.,"Remember that taming flyaways is all about keeping moisture locked in your hair. If you shampoo and condition the right way, use the right products, and control any flyaway frizz that crops up with anti-static cheats, you'll be golden."
3 Ways to Help a Friend - wikiHow,Tell your friend if youre worried about them.,"If your friend has been saying or doing concerning things, let them know that youve noticed and that youre worried about them. Avoid getting upset or emotional when you do this as it may cause them to feel worse. Just tell your friend what you are concerned about in a straightforward manner.[1] For example, you might say something like, John, Ive noticed that you stopped coming to game nights and that you are spending most of your time alone. Im worried about you. Some examples of concerning behavior may include withdrawing, acting sad, self-harming, using drugs, gambling, or having unsafe sex."
3 Ways to Help a Friend - wikiHow,Let your friend know that you are there for them if they need your help.,"Its important not to put too much pressure on your friend to talk, but letting them know that youre there for them if they need you can help to reassure them. Offer to help them in any way that you can.[2] Try saying something like, Im here for you if you ever want to talk, or, Let me know if theres anything I can do to help."
3 Ways to Help a Friend - wikiHow,Listen,"to your friend if they want to talk with you. Give your friend your undivided attention if they want to talk, such as by putting away your phone and shutting off the TV or your computer. Face them and make eye contact with them. While your friend is talking, pay close attention to what they say and nod to show you are hearing them. You can also rephrase what they say now and then to show youre paying attention.[3] For example, you might say something like, It sounds like youre saying that you havent felt happy in a while. Is that right?"
3 Ways to Help a Friend - wikiHow,Empathize,"with your friend to gain insight into what theyre feeling. Empathy is a way of understanding other peoples feelings by putting yourself into their shoes. Try to imagine how youd feel if you were going through what your friend has experienced or described. You might feel sad, angry, confused, lonely, or all of these things at once. Be sensitive to your friends emotions as you listen and respond to them.[4] For example, if your friend shares with you that they have been feeling depressed since the death of a family pet, imagine how you might feel if your pet died."
3 Ways to Help a Friend - wikiHow,Tell your friend a story if something similar happened to you.,"If you have had an experience that is similar to your friends experience, sharing it with them might help them to feel better. However, make sure to share the story in a shortened version so you dont end up turning the spotlight onto yourself. Remember that the point of sharing the story is to help your friend feel validated and less alone in their experience.[5] For example, if your friend shares with you that they are having trouble with schoolwork and worried about failing, you might say something like, I struggled a lot with math last year and I thought I was going to fail. I had to get tutoring after school a few days per week for a while. Or, if a friend shares with you that theyre feeling depressed and dont know what to do about it, you might say, I felt really lost, too, when I went through a depressive episode a couple of years ago. I dont know if it would help you, but therapy really helped me."
3 Ways to Help a Friend - wikiHow,Make suggestions only if your friend asks for your advice.,"Unsolicited advice is not usually received well, so its best to avoid advising your friend about what they should do. Instead, focus on listening to them and only offer advice if they directly ask you for it. And if you do make a suggestion, make sure to maintain a non-judgmental and somewhat uncertain tone.[6] For example, if your friend asks what they should do about a conflict with another friend, you might say something like, I dont know if this will help you, but I usually find its best to talk to someone when Im having an issue with them."
3 Ways to Help a Friend - wikiHow,Validate their feelings,"if they share them with you. Acknowledge your friends feelings by letting them know that you have heard them and that you are sympathetic to their plight. Name the feeling they have expressed and let them know that you are sorry for what they are going through.[7] For example, if a friend shares with you about the difficult time they have been having with a coworker or classmate, you could say something like, It sounds like you have been getting bullied by this person. Im so sorry you have had to go through that. Or, if your friend shares with you about the sadness they have been feeling since their parents divorce, you might say something like, Youve had such a difficult year. Im sorry youve been feeling so sad."
3 Ways to Help a Friend - wikiHow,Call or text your friend 1-2 times per week to check up on them.,"If you dont see your friend on a regular basis, calling or texting them once or twice per week is a good way to help them. Ask how they are, whats new, and if theres anything you can do to help them.[8] For example, you might call or text your friend, Hey Angie! Thinking about you! Hows your week going so far?"
3 Ways to Help a Friend - wikiHow,Invite your friend to hang out with you and other people.,"Having things to look forward to can help your friend to stay positive and feel better if they have been struggling. Try to include your friend in your plans with other people at least once per week.[9] For example, you could ask your friend to go bowling with you and some other friends on the weekend, make plans to check out a new restaurant or caf together, or invite them over for a movie night at your place."
3 Ways to Help a Friend - wikiHow,Ask your friend what activities might make them feel better.,"Hobbies, sports, and other special interests can help people to feel validated and happy in their daily lives. If your friend used to participate in activities and they no longer have the time or interest, you might encourage them to get into them again.[10] Try saying something like, Remember when you took that baking class and made all those beautiful cakes? Youre so talented! Maybe getting back into baking would help you feel better. Or, you could say, You were always so active with student government in high school. Do you think you might like to do that in college as well?"
3 Ways to Help a Friend - wikiHow,Tell someone who can help if your friend is in danger.,"If you have a friend who is being bullied, threatened, harassed, abused, or who is in danger in another way, tell someone who can help them right away! Tell a teacher, parent, supervisor, or someone else who can do something about it. If your friend is an adult, talk with their significant other, an adult sibling of theirs, or another friend. Early intervention is important for preventing a serious issue from becoming even worse.[11] Try saying something like, Im worried about my friend. She is being bullied and I think its getting worse. Can you please help? Or, for an adult friend, you could say something like, Clarissa has been drinking more than seems healthy and Im worried about her. Have you noticed this, too?"
3 Ways to Help a Friend - wikiHow,Encourage your friend to seek professional help if they are struggling.,"If your friend is depressed or dealing with trauma or other emotional issues, encourage them to talk to someone who can help them. They might benefit from seeing a therapist or talking with a school counselor.[12] If your friend is in grade school or college, have them start by talking with the school counselor. You could even go with them if they are reluctant."
3 Ways to Help a Friend - wikiHow,Help your friend make a doctors appointment for a health issue.,"If your friend is struggling with addiction, an eating disorder, chronic illness, or another issue, they will need to see a doctor for treatment. Your friend might need to start by seeing a general practitioner and then find a specialist for additional treatment. Help your friend find a doctor if theyre having a hard time taking this step.[13] For example, you could look up doctor profiles online with your friend and even make the phone call to set up an appointment if theyre nervous. You could even offer to go to the appointment with your friend if they are worried or frightened."
3 Ways to Help a Friend - wikiHow,Take good care of yourself,"as well. While it is admirable to want to help a friend, make sure that you are also taking care of your own needs. Reach out to other people for support as you try to help your friend. Tell a trusted friend or family member whats been going on and how it has affected you emotionally. If your friend continues to struggle despite your attempts to help them, remember that this is not because of you.[14]"
How to Camp in the Rain (with Pictures) - wikiHow,Bring a waterproofed tent when you know itll rain.,"Have a tent with a rain fly that overhangs it so that rainwater drips off the sides. The tents entrance should form a lip, like a bathtub, so the floor isnt entirely flat. Good rain tents are also treated with waterproofing polyurethane or another product.[1] Getting a tent with a vestibule is also helpful. The vestibule can be used to air out damp clothing so you dont drag water into the rest of the tent. Read the labels carefully to make sure the tent has these features."
How to Camp in the Rain (with Pictures) - wikiHow,Seal an old tents seams with a waterproof coating.,Order a seam sealer online and let it dry over any loose seams. Then pick up a waterproof spray wherever camping gear is sold and spray the entire tent. Many store-bought tents aren't completely sealed and should be treated this way.[2] You can test a tent for leaks by either spraying the tent with a hose or holding parts of the tent underwater while looking for bubbles or leaks.
How to Camp in the Rain (with Pictures) - wikiHow,Set up the tent on high ground.,"Take a look around your campsite before you set up the tent. Pick a spot thats elevated, away from any slopes or hills. Avoid camping under heavy tree branches that could fall in a storm. Also, look around for any signs of previous flooding, such as narrow canyons and valleys.[3] Stay aware of your surroundings. Avoid those narrow areas and also be aware of the water levels of nearby rivers. Avoid camping at the highest geographical point when theres lightning."
How to Camp in the Rain (with Pictures) - wikiHow,Place a tarp over the tent.,"Hoist the tarp over your tent on poles or by tying rope between trees. Make sure the tarp is angled so the rainwater runs off the sides, away from your tent. If you have to pitch a tent in the rain, put up a tarp first to protect your camping spot.[4] You can bring multiple tarps and set them up over other areas, such as a dining area, too. Then you wont be stuck in your tent during the storm."
How to Camp in the Rain (with Pictures) - wikiHow,Place a ground tarp inside your tent.,"Lay the groundsheet inside your tent on the floor. Avoid placing it outside, under the tent, since water can get on top of it. Also make sure the ends arent sticking out and letting rain slide into your dry space.[5] You may also lay a second tarp near the tents entrance to use as a doormat and storage spot for wet clothing."
How to Camp in the Rain (with Pictures) - wikiHow,Avoid digging ditches around the tent.,"Newer models of tents dont leak and digging damages the campsite. It should only be attempted if your campsite is gravel or sand. You can then dig a small moat all the way around your tent to protect it like a castle.[6] If you have to dig in dirt, dig a very shallow ditch and slope it so the water runs away from your tent."
How to Camp in the Rain (with Pictures) - wikiHow,Ventilate your tent to avoid water build-up.,"Open up your door and any ventilation features in your tent that arent at risk of letting water in. Living in your tent causes moisture from your breath to condense, in addition to any water you bring in from the outside, so ventilation is important.[7]"
How to Camp in the Rain (with Pictures) - wikiHow,Pack an extra set of water-resistant clothing.,"Quick-drying synthetic fibers like nylon are ideal. Avoid cotton clothing, since youll be cold and clammy as you wait hours for them to dry. Be sure to pack at least one extra set so youll always have something dry to wear.[8] Merino wool is a good choice for additional warmth. Avoid regular wool, since it dries slowly."
How to Camp in the Rain (with Pictures) - wikiHow,Bring a raincoat or poncho.,"If you have to go outside, youll need a water-resistant outer layer. Ponchos are great for when youre walking around camp. If youre going to be in the rain a lot or near bodies of water, get a jacket thats labeled water-repellent and has a breathable lining like Gore-tex.[9] Raincoats can be refreshed with the same polyurethane or wax coating that you use on the tents."
How to Camp in the Rain (with Pictures) - wikiHow,Pack a pair of water-resistant camp shoes.,A pair of sandals or flip-flops are perfect to wear around camp. Put away your regular shoes or boots until the rain stops. They take ages to dry and theres nothing worse than walking around in damp boots.[10]
How to Camp in the Rain (with Pictures) - wikiHow,Bring a synthetic sleeping bag to resist moisture.,"Synthetic sleeping bags dry faster than down sleeping bags. The down ones may be warmer, but theyre no use when wet. You can bring additional layers of clothing or blankets to provide extra warmth when using a synthetic bag.[11]"
How to Camp in the Rain (with Pictures) - wikiHow,Set up a quick-lighting stove for warmth and cooking.,"A warm drink or meal is great during bad weather, but you cant depend on wood fires. Get a small wood or gas stove thats easy to light and bring along some stormproof matches or a lighter.[12] Campfires are also fine, but should never be placed near a tent or tarp. You can keep a fire smoldering by covering the embers with logs until the rain passes."
How to Camp in the Rain (with Pictures) - wikiHow,Pack important gear in plastic bags.,"Plastic bags are water-resistant, so theyre one of the most useful things you can bring. Use large trash bags to store clothing, sleeping bags, and campfire fuel. Smaller sandwich bags are useful for sealing away important documents, money, and electronics.[13] Dry bags function the same way but are more expensive. You can get them wherever camping gear is sold."
How to Camp in the Rain (with Pictures) - wikiHow,Move all of your gear out of the rain.,"Anything exposed to rain is going to take a long time to dry or clean. Obviously you never want wet clothing, but even items like your cooking set will get very dirty. No matter how waterproof you think they are, get them out of the rain.[14]"
How to Camp in the Rain (with Pictures) - wikiHow,Use newspaper and quick-dry towels to soak up moisture.,"Pack some newspaper and towels for whenever you need to mop up rainwater. The towels can be used to wipe down tables and other surfaces, while newspapers are absorbent and can also be used as a fire starter.[15] One way to use newspapers is to place them in wet shoes and other clothing to help soak up the moisture."
How to Camp in the Rain (with Pictures) - wikiHow,Bring foods that dont require cooking.,"Nuts, energy bars, and jerky are some good snack foods to get you through the rains. Sandwich-making supplies like bread and peanut butter also work. While cooking in the rain is possible, these foods can save you a lot of effort and spare you a soaking.[16]"
How to Camp in the Rain (with Pictures) - wikiHow,Plan some fun activities you can do at camp.,"Bring along some books, a deck of cards, board games, drawing materials, or anything else thatll keep you busy. Make sure youre having fun while youre stuck waiting for the rain to pass. You could sing or take turns telling stories, too. Keep children busy by playing games, doing coloring activities, or telling stories, especially if the storm will scare them."
How to Camp in the Rain (with Pictures) - wikiHow,Air out your gear before packing it away.,"Take down the tent first, removing the rain fly and tarp later, if possible. You will most likely need to pack away your gear before it fully dries. Pitch your tent as soon as you get to the next area. Leave your clothing, sleeping bag, and other dampened gear out in the sunlight to dry.[17] Wet gear can lead to mold or mildew, so its important to dry it out as soon as possible."
How to Camp in the Rain (with Pictures) - wikiHow,Collect rainwater by leaving out open bottles.,"Put your pots, pans, water bottles, and other gear outside as soon as the rain begins. You may also set up a tarp to funnel water into one of these objects. Many people forget to drink adequate amounts of water when the rain starts, and youll need to do this if you cant get back to civilization before you run out.[18] Always purify the water with a filter, if possible. Avoid collecting water running off of trees or rocks. This water is already dirty."
